what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329605270486
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329605272579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329605280652
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329605280856
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329605280856
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329605282090
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329605282090
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329605283017
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329605283017
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329605284185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329605782910
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329605785628
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329605799286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329605799981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329605900608
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1329605922759
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329605937118
